sar_id,compound_id,parent_compound_id,modification,site,effect_on_enzyme_activity,effect_on_mic,effect_on_in_vivo,effect_on_solubility_or_exposure,hypothesis,evidence_level,text_quote,reference_id,source_table_or_figure,curation_status,curator_note
SAR-1977-TRAXLER-001,PAPU-0002,,natural component comparison,whole molecule,unknown,improved,unknown,unknown,Papulacandin B is the main and generally most potent component in the reported MIC panel,direct_data,B is most potent in Table 3 for most Candida and yeast rows.,PAPER-1977-TRAXLER,Table 3,curated,Use as early whole-cell activity ranking evidence only. No enzyme IC50 in this paper.
SAR-1977-TRAXLER-002,PAPU-0001,PAPU-0002,natural component comparison,whole molecule,unknown,decreased,unknown,unknown,Papulacandin A is generally less active than Papulacandin B in the MIC panel,direct_data,A is about one half as active as B in text and Table 3.,PAPER-1977-TRAXLER,Biological Properties and Table 3,curated,Do not infer structural cause yet because complete structures are not given here.
SAR-1977-TRAXLER-003,PAPU-0003,PAPU-0002,natural component comparison,whole molecule,unknown,decreased,unknown,unknown,Papulacandin C is generally less active than Papulacandin B in the MIC panel,direct_data,C is about one half as active as B in text and Table 3.,PAPER-1977-TRAXLER,Biological Properties and Table 3,curated,Do not infer structural cause yet because complete structures are not given here.
SAR-1977-TRAXLER-004,PAPU-0004,PAPU-0002,natural component comparison,whole molecule,unknown,decreased,unknown,unknown,Papulacandin D has lower and more strain-dependent whole-cell activity than B,direct_data,D is described as lower activity and Table 3 reports weaker MIC values for many strains.,PAPER-1977-TRAXLER,Biological Properties and Table 3,curated,D remains important later because simplified Papulacandin D derivatives are synthetically useful.
SAR-1977-TRAXLER-005,PAPU-0005,PAPU-0002,natural component comparison,whole molecule,unknown,decreased,unknown,unknown,Papulacandin E is described as a minor lower-activity component but numeric MIC values are not tabulated here,curated_infer,D and E are described as minor components with lower activity.,PAPER-1977-TRAXLER,Abstract and Biological Properties,curated,Keep E out of numeric activity modeling until a paper with exact activity is curated.
SAR-1977-TRAXLER-006,PAPU-0002,,mode of action clue,unknown,unknown,unknown,unknown,unknown,Papulacandin B may act on yeast cell-wall structural glucan and shows partial cross-resistance with echinocandin B,weak_infer,Text reports evidence for structural glucan site of action and partial cross resistance with echinocandin B.,PAPER-1977-TRAXLER,Biological Properties,curated,Mechanistic clue only. No direct enzyme assay in this paper.
SAR-1979-BAGULEY-001,PAPU-0002,,mechanism,glucan synthesis,improved,unknown,unknown,unknown,Papulacandin B directly inhibits alkali-insoluble glucan synthesis in yeast spheroplasts,direct_data,Spheroplast ED50 values are 0.16 ug/ml in S. cerevisiae and 0.03 ug/ml in C. albicans.,PAPER-1979-BAGULEY,Abstract and Table 2,curated,Mechanistic activity entry for target-linked modeling; not a structural analog comparison.
SAR-1979-BAGULEY-002,PAPU-0002,,counter-screen,plasma membrane,unknown,unknown,unknown,unknown,Papulacandin B does not behave like polyene membrane-disrupting antibiotics,direct_data,Papulacandin B caused negligible potassium release up to 50 ug/ml unlike amphotericin B at 2.5 ug/ml.,PAPER-1979-BAGULEY,Table 1,curated,Potassium release is a mechanism counter-screen rather than an antifungal potency endpoint.
SAR-1979-BAGULEY-003,PAPU-0002,,resistance selection,glucan synthesis,decreased,decreased,unknown,unknown,A Papulacandin-B-resistant C. albicans CA2 strain shows much weaker glucan-synthesis inhibition,direct_data,CA2 spheroplast ED50 is 2.5 ug/ml versus 0.03 ug/ml for K1133.,PAPER-1979-BAGULEY,Table 2,curated,Useful for resistance phenotype annotation.
SAR-1979-BAGULEY-004,PAPU-0002,,serum effect,target exposure,unknown,decreased,unknown,decreased,Human serum reduces apparent Papulacandin B activity in C. albicans systems,direct_data,K1133 MIC shifts from 0.1 to 2.6 ug/ml with 10% human serum; spheroplast ED50 shifts from 0.03 to 0.8 ug/ml.,PAPER-1979-BAGULEY,Table 2,curated,Keep serum and serum-free data separated during modeling.
