compound_id	structure_issue	stereochemistry_issue	double_bond_issue	sugar_issue	acyl_chain_issue	source_conflict	recommended_action	reference_id	status	notes
PAPU-0001	Structure drawing available but machine-readable structure not curated	partial from Fig. 1	double-bond geometry needs manual transcription	glucose and galactose shown	C16 long acyl and short acyl residues shown	none	Manually transcribe Rommele 1983 Fig. 1 to isomeric SMILES and verify against structure papers	PAPER-1977-TRAXLER;PAPER-1983-ROMMELE	open	Traxler 1977 provides formula/MW; Rommele 1983 Fig. 1 provides structure drawing and Table 1 activity.
PAPU-0002	Structure drawing available but machine-readable structure not curated	partial from figures	double-bond geometry needs manual transcription	glucose and galactose shown	C16 long acyl and C10 short acyl residues reported	none	Manually transcribe Fig. 1 structure to isomeric SMILES and verify against later structure papers	PAPER-1977-TRAXLER;PAPER-1979-BAGULEY;PAPER-1983-ROMMELE	open	Baguley 1979 and Rommele 1983 show structure/composition; canonical SMILES is intentionally left blank until manual chemistry review.
PAPU-0003	Structure drawing available but machine-readable structure not curated	partial from Fig. 1	double-bond geometry needs manual transcription	glucose and galactose shown	C16 long acyl and short acyl residues shown	none	Manually transcribe Rommele 1983 Fig. 1 to isomeric SMILES and verify against structure papers	PAPER-1977-TRAXLER;PAPER-1983-ROMMELE	open	Traxler 1977 provides formula/MW; Rommele 1983 Fig. 1 provides structure drawing and Table 1 activity.
PAPU-0004	Structure drawing available but machine-readable structure not curated	partial from Fig. 2	double-bond geometry needs manual transcription	galactose absent	C16 long acyl residue shown; short acyl absent	none	Manually transcribe Rommele 1983 Fig. 2 to isomeric SMILES and verify against structure papers. Review Agudelo-Restrepo 2026 Figure 4 and Table 4 during manual structure/activity reconciliation	PAPER-1977-TRAXLER;PAPER-1983-ROMMELE;PAPER-2026-AGUDELORESTREPO	open	Traxler 1977 provides formula/MW; Rommele 1983 Fig. 2 shows Papulacandin D and Table 1 activity. Agudelo-Restrepo 2026 re-isolated Papulacandin D and reported no Table 4 antimicrobial activity under the tested threshold
PAPU-0005	Formula and molecular weight unknown in this paper	unknown	unknown	unknown	unknown	none	Find later source before structure or activity modeling	PAPER-1977-TRAXLER	open	Table 2 reports formula and molecular weight as unknown; Table 3 has no E MIC column.
PAPU-0006	Derivative structure described but machine-readable structure not curated	partial from Table 1 derivative description	hydrogenation stereochemical detail not curated	glucose and galactose presumed retained	hydrogenated fatty acid residues; exact structure not machine-readable	none	Transcribe derivative from Papulacandin B structure and verify exact MW before descriptor calculation	PAPER-1983-ROMMELE	open	Paper compound 5; Table 1 provides activity but not a standalone full structure.
PAPU-0007	Derivative structure described but machine-readable structure not curated	partial from Table 1 derivative description	hydrogenation stereochemical detail not curated	galactose absent as Papulacandin D derivative	hydrogenated long acyl residue; exact structure not machine-readable	none	Transcribe derivative from Papulacandin D structure and verify exact MW before descriptor calculation	PAPER-1983-ROMMELE	open	Paper compound 6; Table 1 provides activity but not a standalone full structure.
PAPU-0008	Nona-acetate structure not machine-readable	partial derivative description	unknown	glucose and galactose retained	fatty acid residues retained	none	Identify acetylation sites and exact MW before descriptor calculation	PAPER-1983-ROMMELE	open	Paper compound 7; nona-acetylation position count is known but atom mapping needs manual transcription.
PAPU-0009	Degradation product drawing available but machine-readable structure not curated	partial from Fig. 3	double-bond geometry needs transcription where applicable	see Fig. 3	see Fig. 3	none	Manually transcribe Fig. 3 structure to isomeric SMILES and verify exact MW	PAPER-1983-ROMMELE	open	Paper compound 8; short fatty acid removed; long acyl and galactose retained.
PAPU-0010	Degradation product drawing available but machine-readable structure not curated	partial from Fig. 3	double-bond geometry needs transcription where applicable	see Fig. 3	see Fig. 3	none	Manually transcribe Fig. 3 structure to isomeric SMILES and verify exact MW	PAPER-1983-ROMMELE	open	Paper compound 9; both fatty acid residues removed.
PAPU-0011	Degradation product drawing available but machine-readable structure not curated	partial from Fig. 3	double-bond geometry needs transcription where applicable	see Fig. 3	see Fig. 3	none	Manually transcribe Fig. 3 structure to isomeric SMILES and verify exact MW	PAPER-1983-ROMMELE	open	Paper compound 10; both fatty acid residues and galactose removed.
PAPU-0012	Substituent listed in Table 2 but full machine-readable structure not curated	partial from Table 2 substituent	fatty-acid geometry inherited from Papulacandin B and needs transcription	glucose and galactose retained	fatty acid residues inherited from Papulacandin B	none	Build full isomeric SMILES from Papulacandin B core plus Table 2 substituent and verify exact MW	PAPER-1983-ROMMELE	open	Paper compound 11; Table 2 substituent recorded as 6-I.
PAPU-0013	Substituent listed in Table 2 but full machine-readable structure not curated	partial from Table 2 substituent	fatty-acid geometry inherited from Papulacandin B and needs transcription	glucose and galactose retained	fatty acid residues inherited from Papulacandin B	none	Build full isomeric SMILES from Papulacandin B core plus Table 2 substituent and verify exact MW	PAPER-1983-ROMMELE	open	Paper compound 12; Table 2 substituent recorded as 6-Br.
PAPU-0014	Substituent listed in Table 2 but full machine-readable structure not curated	partial from Table 2 substituent	fatty-acid geometry inherited from Papulacandin B and needs transcription	glucose and galactose retained	fatty acid residues inherited from Papulacandin B	none	Build full isomeric SMILES from Papulacandin B core plus Table 2 substituent and verify exact MW	PAPER-1983-ROMMELE	open	Paper compound 13; Table 2 substituent recorded as 6-OCH2COCH3.
PAPU-0015	Heterocycle drawn in Table 2 needs manual confirmation before machine-readable structure curation	partial from Table 2 substituent	fatty-acid geometry inherited from Papulacandin B and needs transcription	glucose and galactose retained	fatty acid residues inherited from Papulacandin B	none	Confirm heterocycle identity from the PDF drawing before SMILES or descriptor calculation	PAPER-1983-ROMMELE	open	Paper compound 14; Table 2 substituent recorded as 6-CH2N morpholine-like.
PAPU-0016	Substituent listed in Table 2 but full machine-readable structure not curated	partial from Table 2 substituent	fatty-acid geometry inherited from Papulacandin B and needs transcription	glucose and galactose retained	fatty acid residues inherited from Papulacandin B	none	Build full isomeric SMILES from Papulacandin B core plus Table 2 substituent and verify exact MW	PAPER-1983-ROMMELE	open	Paper compound 15; Table 2 substituent recorded as 12-OCH3.
PAPU-0017	Substituent listed in Table 2 but full machine-readable structure not curated	partial from Table 2 substituent	fatty-acid geometry inherited from Papulacandin B and needs transcription	glucose and galactose retained	fatty acid residues inherited from Papulacandin B	none	Build full isomeric SMILES from Papulacandin B core plus Table 2 substituent and verify exact MW	PAPER-1983-ROMMELE	open	Paper compound 16; Table 2 substituent recorded as 10,12-OCH3.
PAPU-0018	Substituent listed in Table 2 but full machine-readable structure not curated	partial from Table 2 substituent	fatty-acid geometry inherited from Papulacandin B and needs transcription	glucose and galactose retained	fatty acid residues inherited from Papulacandin B	none	Build full isomeric SMILES from Papulacandin B core plus Table 2 substituent and verify exact MW	PAPER-1983-ROMMELE;PAPER-1987-TRAXLER	open	NO.3 compound 17 and NO.4 compound 5c; Table labels support 12-OCH2CH2CH3. Full isomeric SMILES and exact MW remain open.
PAPU-0019	Substituent listed in Table 2 but full machine-readable structure not curated	partial from Table 2 substituent	fatty-acid geometry inherited from Papulacandin B and needs transcription	glucose and galactose retained	fatty acid residues inherited from Papulacandin B	none	Build full isomeric SMILES from Papulacandin B core plus Table 2 substituent and verify exact MW	PAPER-1983-ROMMELE;PAPER-1987-TRAXLER	open	NO.3 compound 18 and NO.4 compound 6c; Table labels support 10,12-di-OCH2CH2CH3. Full isomeric SMILES and exact MW remain open.
PAPU-0020	Substituent listed in Table 2 but full machine-readable structure not curated	partial from Table 2 substituent	fatty-acid geometry inherited from Papulacandin B and needs transcription	glucose and galactose retained	fatty acid residues inherited from Papulacandin B	none	Build full isomeric SMILES from Papulacandin B core plus Table 2 substituent and verify exact MW	PAPER-1983-ROMMELE	open	Paper compound 19; Table 2 substituent recorded as 10-OCH2COCH3.
PAPU-0021	Substituent listed in Table 2 but full machine-readable structure not curated	partial from Table 2 substituent	fatty-acid geometry inherited from Papulacandin B and needs transcription	glucose and galactose retained	fatty acid residues inherited from Papulacandin B	none	Build full isomeric SMILES from Papulacandin B core plus Table 2 substituent and verify exact MW	PAPER-1983-ROMMELE	open	Paper compound 20; Table 2 substituent recorded as 12-OCH2COOH.
PAPU-0022	Substituent listed in Table 2 but full machine-readable structure not curated	partial from Table 2 substituent	fatty-acid geometry inherited from Papulacandin B and needs transcription	glucose and galactose retained	fatty acid residues inherited from Papulacandin B	none	Build full isomeric SMILES from Papulacandin B core plus Table 2 substituent and verify exact MW	PAPER-1983-ROMMELE	open	Paper compound 21; Table 2 substituent recorded as 10-OCH2COOH.
PAPU-0023	Substituent listed in Table 2 but full machine-readable structure not curated	partial from Table 2 substituent	fatty-acid geometry inherited from Papulacandin B and needs transcription	glucose and galactose retained	fatty acid residues inherited from Papulacandin B	none	Build full isomeric SMILES from Papulacandin B core plus Table 2 substituent and verify exact MW	PAPER-1983-ROMMELE	open	Paper compound 22; Table 2 substituent recorded as 10-OCH2COOCH3.
PAPU-0024	Substituent listed in Table 2 but full machine-readable structure not curated	partial from Table 2 substituent	fatty-acid geometry inherited from Papulacandin B and needs transcription	glucose and galactose retained	fatty acid residues inherited from Papulacandin B	none	Build full isomeric SMILES from Papulacandin B core plus Table 2 substituent and verify exact MW	PAPER-1983-ROMMELE	open	Paper compound 23; Table 2 substituent recorded as 10-OCH2COOCH2CH(OH)CH2OH.
PAPU-0025	Heterocycle drawn in Table 2 needs manual confirmation before machine-readable structure curation	partial from Table 2 substituent	fatty-acid geometry inherited from Papulacandin B and needs transcription	glucose and galactose retained	fatty acid residues inherited from Papulacandin B	none	Confirm heterocycle identity from the PDF drawing before SMILES or descriptor calculation	PAPER-1983-ROMMELE	open	Paper compound 24; Table 2 substituent recorded as 11-CH2 morpholine-like plus 12-OCH3.
PAPU-0026	Heterocycle drawn in Table 2 needs manual confirmation before machine-readable structure curation	partial from Table 2 substituent	fatty-acid geometry inherited from Papulacandin B and needs transcription	glucose and galactose retained	fatty acid residues inherited from Papulacandin B	none	Confirm heterocycle identity from the PDF drawing before SMILES or descriptor calculation	PAPER-1983-ROMMELE	open	Paper compound 25; Table 2 substituent recorded as 11-CH2N heterocycle with NH.
PAPU-0027	Substituent listed in Table 2 but full machine-readable structure not curated	partial from Table 2 substituent	fatty-acid geometry inherited from Papulacandin B and needs transcription	glucose and galactose retained	fatty acid residues inherited from Papulacandin B	none	Build full isomeric SMILES from Papulacandin B core plus Table 2 substituent and verify exact MW	PAPER-1983-ROMMELE	open	Paper compound 26; Table 2 substituent recorded as 11-NH2 plus 12-OCH3.
PAPU-0028	Substituent listed in Table 2 but full machine-readable structure not curated	partial from Table 2 substituent	fatty-acid geometry inherited from Papulacandin B and needs transcription	glucose and galactose retained	fatty acid residues inherited from Papulacandin B	none	Build full isomeric SMILES from Papulacandin B core plus Table 2 substituent and verify exact MW	PAPER-1983-ROMMELE	open	Paper compound 27; Table 2 substituent recorded as 11-NHCOCH3 plus 12-OCH3.
PAPU-0029	Substituent listed in Table 2 but full machine-readable structure not curated	partial from Table 2 substituent	fatty-acid geometry inherited from Papulacandin B and needs transcription	glucose and galactose retained	fatty acid residues inherited from Papulacandin B	none	Build full isomeric SMILES from Papulacandin B core plus Table 2 substituent and verify exact MW	PAPER-1983-ROMMELE	open	Paper compound 28; Table 2 substituent recorded as 11-NHCOCH3.
PAPU-0030	Substituent listed in Table 2 but full machine-readable structure not curated	partial from Table 2 substituent	fatty-acid geometry inherited from Papulacandin B and needs transcription	glucose and galactose retained	fatty acid residues inherited from Papulacandin B	none	Build full isomeric SMILES from Papulacandin B core plus Table 2 substituent and verify exact MW	PAPER-1983-ROMMELE	open	Paper compound 29; Table 2 substituent recorded as 11-NHCOCH2NH2.
